year,code,name,du_per_acre,far,hotel,source,notes
2016,mu-highmed,High-Medium Residential Mixed-Use,,up to 3.24 FAR incl office/retail,,era,
2016,mu-coord,Coordinated Mixed-Use Development,,up to 6.0 FAR (office max 3.0 FAR),,era,"high-density district, actual density by site size"
2017,res-low-1-10,Residential Low (1-10 u/ac),1-10 du/ac,,,era,
2017,res-low-11-15,Residential Low (11-15 u/ac),11-15 du/ac,,,era,
2017,res-lowmed,Residential Low-Medium,16-36 du/ac,,,era,upper bound raised from 30 (1983)
2017,res-med,Residential Medium,up to 37-72 du/ac,,,era,
2017,res-highmed,Residential High-Medium,,3.24 FAR residential,,era,
2017,res-high,Residential High,,4.8 FAR residential,3.8 FAR hotel,era,
2017,svc-commercial,Service Commercial,,max 1.5 FAR,,era,1-4 stories; special provisions within Columbia Pike Special Revitalization District
2017,com-general,General Commercial,,,,era,generally max 7 stories
2017,svc-industry,Service Industry,,,,era,"wholesale, storage, light manufacturing"
2017,public,Public,,,,era,"parks, public schools, parkways, libraries"
2017,semi-public,Semi-Public,,,,era,"country clubs, churches, private schools/cemeteries"
2017,gov-community,Government and Community Facilities,,,,era,"county/state/federal, hospitals, utilities, military, airports"
2017,oah-low,Office-Apartment-Hotel Low,up to 72 du/ac apt,1.5 FAR office,up to 110 du/ac hotel,era,hotel cap reduced from 135 (1983)
2017,oah-med,Office-Apartment-Hotel Medium,up to 115 du/ac apt,2.5 FAR office,up to 180 du/ac hotel,era,
2017,oah-high,Office-Apartment-Hotel High,up to 4.8 FAR apt,3.8 FAR office,up to 3.8 FAR hotel,era,changed from 3.5 FAR/135/210 (1983)
2017,mu-med,Medium Density Mixed-Use,,3.0 FAR (+1.0 FAR residential special provision),,era,
2017,mu-highmed,High-Medium Residential Mixed-Use,,up to 3.24 FAR incl office/retail,,era,
2017,mu-coord,Coordinated Mixed-Use Development,,up to 6.0 FAR (office max 3.0 FAR),,era,"high-density district, actual density by site size"
2018,res-low-1-10,Residential Low (1-10 u/ac),1-10 du/ac,,,era,
2018,res-low-11-15,Residential Low (11-15 u/ac),11-15 du/ac,,,era,
2018,res-lowmed,Residential Low-Medium,16-36 du/ac,,,era,upper bound raised from 30 (1983)
2018,res-med,Residential Medium,up to 37-72 du/ac,,,era,
2018,res-highmed,Residential High-Medium,,3.24 FAR residential,,era,
2018,res-high,Residential High,,4.8 FAR residential,3.8 FAR hotel,era,
2018,svc-commercial,Service Commercial,,max 1.5 FAR,,era,1-4 stories; special provisions within Columbia Pike Special Revitalization District
2018,com-general,General Commercial,,,,era,generally max 7 stories
2018,svc-industry,Service Industry,,,,era,"wholesale, storage, light manufacturing"
2018,public,Public,,,,era,"parks, public schools, parkways, libraries"
2018,semi-public,Semi-Public,,,,era,"country clubs, churches, private schools/cemeteries"
2018,gov-community,Government and Community Facilities,,,,era,"county/state/federal, hospitals, utilities, military, airports"
2018,oah-low,Office-Apartment-Hotel Low,up to 72 du/ac apt,1.5 FAR office,up to 110 du/ac hotel,era,hotel cap reduced from 135 (1983)
2018,oah-med,Office-Apartment-Hotel Medium,up to 115 du/ac apt,2.5 FAR office,up to 180 du/ac hotel,era,
2018,oah-high,Office-Apartment-Hotel High,up to 4.8 FAR apt,3.8 FAR office,up to 3.8 FAR hotel,era,changed from 3.5 FAR/135/210 (1983)
2018,mu-med,Medium Density Mixed-Use,,3.0 FAR (+1.0 FAR residential special provision),,era,
2018,mu-highmed,High-Medium Residential Mixed-Use,,up to 3.24 FAR incl office/retail,,era,
2018,mu-coord,Coordinated Mixed-Use Development,,up to 6.0 FAR (office max 3.0 FAR),,era,"high-density district, actual density by site size"
2019,res-low-1-10,Residential Low (1-10 u/ac),1-10 du/ac,,,era,
2019,res-low-11-15,Residential Low (11-15 u/ac),11-15 du/ac,,,era,
2019,res-lowmed,Residential Low-Medium,16-36 du/ac,,,era,upper bound raised from 30 (1983)
2019,res-med,Residential Medium,up to 37-72 du/ac,,,era,
2019,res-highmed,Residential High-Medium,,3.24 FAR residential,,era,
2019,res-high,Residential High,,4.8 FAR residential,3.8 FAR hotel,era,
2019,svc-commercial,Service Commercial,,max 1.5 FAR,,era,1-4 stories; special provisions within Columbia Pike Special Revitalization District
2019,svc-industry,Service Industry,,,,era,"wholesale, storage, light manufacturing"
2019,public,Public,,,,era,"parks, public schools, parkways, libraries"
2019,semi-public,Semi-Public,,,,era,"country clubs, churches, private schools/cemeteries"
2019,gov-community,Government and Community Facilities,,,,era,"county/state/federal, hospitals, utilities, military, airports"
2019,oah-low,Office-Apartment-Hotel Low,up to 72 du/ac apt,1.5 FAR office,up to 110 du/ac hotel,era,hotel cap reduced from 135 (1983)
2019,oah-med,Office-Apartment-Hotel Medium,up to 115 du/ac apt,2.5 FAR office,up to 180 du/ac hotel,era,
2019,oah-high,Office-Apartment-Hotel High,up to 4.8 FAR apt,3.8 FAR office,up to 3.8 FAR hotel,era,changed from 3.5 FAR/135/210 (1983)
2019,mu-med,Medium Density Mixed-Use,,3.0 FAR (+1.0 FAR residential special provision),,era,
2019,mu-highmed,High-Medium Residential Mixed-Use,,up to 3.24 FAR incl office/retail,,era,
2019,mu-coord,Coordinated Mixed-Use Development,,up to 6.0 FAR (office max 3.0 FAR),,era,"high-density district, actual density by site size"
2020,res-low-1-10,Residential Low (1-10 u/ac),1-10 du/ac,,,era,
2020,res-low-11-15,Residential Low (11-15 u/ac),11-15 du/ac,,,era,
2020,res-lowmed,Residential Low-Medium,16-36 du/ac,,,era,upper bound raised from 30 (1983)
2020,res-med,Residential Medium,up to 37-72 du/ac,,,era,
2020,res-highmed,Residential High-Medium,,3.24 FAR residential,,era,
2020,res-high,Residential High,,4.8 FAR residential,3.8 FAR hotel,era,
2020,svc-commercial,Service Commercial,,max 1.5 FAR,,era,1-4 stories; special provisions within Columbia Pike Special Revitalization District
2020,svc-industry,Service Industry,,,,era,"wholesale, storage, light manufacturing"
2020,public,Public,,,,era,"parks, public schools, parkways, libraries"
2020,semi-public,Semi-Public,,,,era,"country clubs, churches, private schools/cemeteries"
2020,gov-community,Government and Community Facilities,,,,era,"county/state/federal, hospitals, utilities, military, airports"
2020,oah-low,Office-Apartment-Hotel Low,up to 72 du/ac apt,1.5 FAR office,up to 110 du/ac hotel,era,hotel cap reduced from 135 (1983)
2020,oah-med,Office-Apartment-Hotel Medium,up to 115 du/ac apt,2.5 FAR office,up to 180 du/ac hotel,era,
2020,oah-high,Office-Apartment-Hotel High,up to 4.8 FAR apt,3.8 FAR office,up to 3.8 FAR hotel,era,changed from 3.5 FAR/135/210 (1983)
2020,mu-med,Medium Density Mixed-Use,,3.0 FAR (+1.0 FAR residential special provision),,era,
2020,mu-highmed,High-Medium Residential Mixed-Use,,up to 3.24 FAR incl office/retail,,era,
2020,mu-coord,Coordinated Mixed-Use Development,,up to 6.0 FAR (office max 3.0 FAR),,era,"high-density district, actual density by site size"
2021,res-low-1-10,Residential Low (1-10 u/ac),1-10 du/ac,,,era,
2021,res-low-11-15,Residential Low (11-15 u/ac),11-15 du/ac,,,era,
2021,res-lowmed,Residential Low-Medium,16-36 du/ac,,,era,upper bound raised from 30 (1983)
2021,res-med,Residential Medium,up to 37-72 du/ac,,,era,
