year,code,name,du_per_acre,far,hotel,source,notes
1987,res-med,Residential Medium (37-72 u/ac),37-72 du/ac,,,sheet,lower bound raised from 31 (1983)
1987,res-highmed,Residential High-Medium (3.24 FAR),,3.24 FAR residential,,sheet,
1987,res-high,Residential High (4.8 FAR),,4.8 FAR residential,3.8 FAR hotel,sheet,
1987,svc-commercial,Service Commercial,,max 1.5 FAR,,sheet,generally 1-4 stories; raised from 1.0 FAR (1983)
1987,com-general,General Commercial,,,,sheet,generally max 7 stories
1987,svc-industry,Service Industry,,,,sheet,"wholesale, storage, light manufacturing"
1987,public,Public,,,,sheet,"parks, public schools, parkways, libraries"
1987,semi-public,Semi-Public,,,,sheet,"country clubs, churches, private schools/cemeteries"
1987,gov-community,Government and Community Facilities,,,,sheet,"county/state/federal, hospitals, utilities, military, airports"
1987,oah-low,Office-Apartment-Hotel Low,up to 72 du/ac apt,1.5 FAR office,up to 110 du/ac hotel,sheet,hotel cap reduced from 135 (1983)
1987,oah-med,Office-Apartment-Hotel Medium,up to 115 du/ac apt,2.5 FAR office,up to 180 du/ac hotel,sheet,
1987,oah-high,Office-Apartment-Hotel High,up to 4.8 FAR apt,3.8 FAR office,up to 3.8 FAR hotel,sheet,changed from 3.5 FAR/135/210 (1983)
1987,mu-med,Medium Density Mixed-Use,,3.0 FAR (+1.0 FAR residential special provision),,sheet,
1987,mu-highmed,High-Medium Residential Mixed-Use,,up to 3.24 FAR incl office/retail,,sheet,
1987,mu-coord,Coordinated Mixed-Use Development District,,up to 6.0 FAR (office max 3.0 FAR),,sheet,"high-density district, actual density by site size"
1990,res-low-1-10,Residential Low (1-10 u/ac),1-10 du/ac,,,era,
1990,res-low-11-15,Residential Low (11-15 u/ac),11-15 du/ac,,,era,
1990,res-lowmed,Residential Low-Medium (16-36 u/ac),16-36 du/ac,,,era,upper bound raised from 30 (1983)
1990,res-med,Residential Medium (37-72 u/ac),37-72 du/ac,,,era,lower bound raised from 31 (1983)
1990,res-highmed,Residential High-Medium (3.24 FAR),,3.24 FAR residential,,era,
1990,res-high,Residential High (4.8 FAR),,4.8 FAR residential,3.8 FAR hotel,era,
1990,svc-commercial,Service Commercial,,max 1.5 FAR,,era,generally 1-4 stories; raised from 1.0 FAR (1983)
1990,com-general,General Commercial,,,,era,generally max 7 stories
1990,svc-industry,Service Industry,,,,era,"wholesale, storage, light manufacturing"
1990,public,Public,,,,era,"parks, public schools, parkways, libraries"
